offer_id,title,address,Cena,Powierzchnia,Forma_własności,Liczba_pokoi,Stan_wykończenia,Piętro,Balkon_ogród_taras,Czynsz,Miejsce_parkingowe,Obsługa_zdalna,Ogrzewanie,Rynek,Typ_ogłoszeniodawcy,Dostępne_od,Rok_budowy,Rodzaj_zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje_dodatkowe,Materiał_budynku,district
ID4bAsW,Codzienna wygoda i relaks w otoczeniu zieleni.,"Warszawa, Ursus",325000.0,30.88,pełna własność,1,,1/4,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,2022,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,URSUS
ID4fyGR,Mieszkanie 2 Pokojowe Na Woli W Okolicy Metra,"Warszawa, Wola",799000.0,44.47,pełna własność,2,,5,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2023,blok,drewniane,tak,brak informacji,brak informacji,brak informacji,brak informacji,,WOLA
ID4fQFW,3-pokojowe mieszkanie 56m2 + balkon,"Warszawa, Rembertów, ul. Chełmżyńska",563966.0,56.68,pełna własność,3,do wykończenia,5/5,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,REMBERTÓW
ID4gpmP,Praga Południe | 99m2 | 4pok | balkon | PEREŁKA,"Warszawa, Praga-Południe, ul. Jana Nowaka-Jeziorańskiego",1599000.0,99.0,pełna własność,4,do zamieszkania,1/11,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,2006,apartamentowiec,,tak,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",pom. użytkowe,,PRAGA-POŁUDNIE
ID4fxff,"Mieszkanie 48m2, 2 pok., Mokotów, Niewielka","Warszawa, Mokotów, Niewielka",585000.0,48.0,pełna własność,2,do zamieszkania,1/4,balkon,600 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2002,blok,plastikowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,,MOKOTÓW
ID48C4Q,Praktyczny Apartament Nakielska M7,"Warszawa, Wola, ul. Nakielska",,70.13,,3,do wykończenia,1,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2023,,,tak,"telewizja kablowa, internet",domofon / wideofon,brak informacji,brak informacji,,WOLA
ID4cqqK,Apartament Wola 143m 6 Pokoi 2 Garaże Loggia Metro,"Warszawa, Wola, Żytnia",1730000.0,143.0,pełna własność,6,do zamieszkania,8/9,,1 100 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2002,apartamentowiec,,tak,brak informacji,monitoring / ochrona,brak informacji,oddzielna kuchnia,cegła,WOLA
ID4fXod,2-Pok Mieszkanie Tuż Przy Metrze,"Warszawa, Targówek, Ludwika Kondratowicza",770000.0,66.0,,2,do zamieszkania,4/8,balkon,620 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2001,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",monitoring / ochrona,meble,brak informacji,cegła,TARGÓWEK
ID4gb51,"3 pokoje, 73m2 + balkon 20m2 SOKRATESA 5","Warszawa, Bielany, ul. Sokratesa 5",1070000.0,73.2,pełna własność,3,do zamieszkania,3/6,"balkon, taras",850 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,prywatny,,2009,blok,drewniane,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",brak informacji,żelbet,BIELANY
ID4dxzO,4-pokojowe mieszkanie 92m2 + balkon Bezpośrednio,"Warszawa, Bemowo",,92.9,pełna własność,4,do wykończenia,1/5,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,BEMOWO
ID4dSOt,Rozkładowe 3 pokojowe przy Wum. Oddzielna kuchnia.,"Warszawa, Ochota, Jasielska",580000.0,52.2,spółdzielcze własnościowe,3,do remontu,parter/4,,570 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1965,blok,plastikowe,nie,brak informacji,domofon / wideofon,brak informacji,piwnica,cegła,OCHOTA
ID4goa7,⭕️Kawalerka Górny Mokotów Metro Racławicka,"Warszawa, Mokotów, Górny Mokotów, Racławicka",479000.0,26.72,pełna własność,1,do remontu,3/3,,360 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1953,kamienica,,nie,brak informacji,brak informacji,brak informacji,brak informacji,cegła,MOKOTÓW
ID4fIhW,Rozkładowe mieszkanie po remoncie,"Warszawa, Targówek, Bródno",498000.0,47.0,pełna własność,3,do zamieszkania,4/4,balkon,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1969,blok,,nie,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia",inne,TARGÓWEK
ID4eZ7u,2-pokojowe mieszkanie 52m2 + balkon,"Warszawa, Bielany",605015.0,52.61,pełna własność,2,do wykończenia,1/3,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,BIELANY
ID4fRSf,Mieszkanie 127m2 + 206m2 ogródka,"Warszawa, Białołęka",1050000.0,127.0,,5,,zapytaj,ogródek,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,,2022,,plastikowe,nie,brak informacji,teren zamknięty,brak informacji,oddzielna kuchnia,,BIAŁOŁĘKA
ID4fJFV,Mieszkanie 2 pokoje Ursynów Płnocny,"Warszawa, Ursynów, Surowieckiego 6",599999.0,53.4,spółdzielcze własnościowe,2,do remontu,3/3,balkon,540 zł,zapytaj,zapytaj,miejskie,wtórny,prywatny,,1994,blok,drewniane,nie,"telewizja kablowa, internet, telefon","teren zamknięty, monitoring / ochrona",brak informacji,piwnica,inne,URSYNÓW
ID4c6EK,Nowy Apartament Towarowa Towers A.165,"Warszawa, Wola, ul. Towarowa",888894.0,45.38,,2,,> 10,,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2024,apartamentowiec,,tak,brak informacji,brak informacji,brak informacji,brak informacji,,WOLA
ID4fEyX,2-pokojowe mieszkanie 35m2 + balkon Bezpośrednio,"Warszawa, mazowieckie",,35.2,pełna własność,2,do wykończenia,4/8,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,MAZOWIECKIE
ID4bSLM,"Next Ursus, Light 2.B.39","Warszawa, Ursus, ul. Posag 7 Panien",,63.52,,3,do wykończenia,2,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2023,,,tak,"telewizja kablowa, internet",domofon / wideofon,brak informacji,brak informacji,,URSUS
ID4d6b2,Osiedle Hemara | mieszkanie C2/M192,"Warszawa, Białołęka, ul. Mariana Hemara",,58.43,,3,,3,balkon,zapytaj,zapytaj,zapytaj,,pierwotny,deweloper,,2022,,,tak,brak informacji,brak informacji,brak informacji,brak informacji,,BIAŁOŁĘKA
ID4fR4m,3-pokojowe mieszkanie 57m2 + ogródek Bezpośrednio,"Warszawa, Białołęka",,57.87,pełna własność,3,do wykończenia,parter/3,ogródek,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,BIAŁOŁĘKA
ID4fCGd,"Mieszkanie, 48 m², Warszawa","Warszawa, Wola, al. Solidarności",599000.0,48.0,,2,do zamieszkania,10/10,,580 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1968,,,tak,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,żelbet,WOLA
ID4g1gO,2 pokoje przy metrze Pole Mokotowskie - po remncie,"Warszawa, Mokotów, ul. Stefana Batorego",619000.0,34.0,pełna własność,2,do zamieszkania,2/2,balkon,zapytaj,zapytaj,tak,miejskie,wtórny,prywatny,,brak informacji,,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka",brak informacji,,MOKOTÓW
ID4gcqY,"Gotowe do wprowadzenia, dwustronne z balkonem","Warszawa, Ursynów",687000.0,72.0,,3,,1/3,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1977,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,URSYNÓW
ID4fVZI,2 pokoje przy samym metrze Targówek!,"Warszawa, Targówek, Michała Ossowskiego",524900.0,44.5,pełna własność,2,,1/4,balkon,520 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1976,blok,,nie,brak informacji,domofon / wideofon,brak informacji,piwnica,,TARGÓWEK
ID4g154,"Bardzo ciche, 3 pokojowe na Muranowie","Warszawa, Wola, Muranów",630000.0,45.6,spółdzielcze wł. z KW,3,do zamieszkania,2/10,balkon,550 zł,zapytaj,zapytaj,miejskie,wtórny,prywatny,,1969,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, pom. użytkowe",beton,WOLA
ID4fU6X,Kameralna rezydencja klasy Premium! Widok na Park,"Warszawa, Mokotów",7225000.0,298.44,pełna własność,4,do wykończenia,1/3,balkon,2 980 zł,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,2022-04-25,brak informacji,apartamentowiec,,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,brak informacji,,MOKOTÓW
ID4cAt5,4-pokojowe mieszkanie 83m2 + 2 balkony,"Warszawa, Wilanów",991753.0,83.9,pełna własność,4,do wykończenia,1/10,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2022,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,WILANÓW
ID4f4d1,"Przestronny apartament na Bielanach - 92,5m2","Warszawa, Bielany, Zbigniewa Romaszewskiego",1790000.0,92.5,pełna własność,4,do zamieszkania,> 10/11,taras,zapytaj,garaż/miejsce parkingowe,tak,miejskie,wtórny,biuro nieruchomości,,2015,apartamentowiec,,tak,brak informacji,monitoring / ochrona,brak informacji,"piwnica, pom. użytkowe",cegła,BIELANY
ID4g5OJ,Lux kawalerka na sprzedaż samo centrum,"Warszawa, Śródmieście, Śródmieście Południowe",599000.0,30.0,,1,,4/4,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1905,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,ŚRÓDMIEŚCIE
ID4goqd,"Mieszkanie 93 m2, 5 pokoi Warszawa Mokotów","Warszawa, Mokotów, Wałbrzyska",1200000.0,93.0,spółdzielcze wł. z KW,5,do zamieszkania,4/10,"balkon, ogródek",900 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,1976,blok,plastikowe,nie,"telewizja kablowa, internet",monitoring / ochrona,meble,piwnica,,MOKOTÓW
ID4fYM6,Lux Trzypokojowe Widne Mieszkanie Z Tarasem 54 M2,"Warszawa, Praga-Południe, Gocław, Międzyborska",1038840.0,62.96,pełna własność,3,do zamieszkania,4/5,taras,650 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2016,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon",monitoring / ochrona,meble,brak informacji,cegła,PRAGA-POŁUDNIE
ID4c1eJ,"Wesoła, Nowe! 2 pokoje 1 piętro balkon 12m2!","Warszawa, Wesoła",410750.0,40.5,pełna własność,2,,1/4,ogródek,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,,2022,,plastikowe,nie,brak informacji,brak informacji,brak informacji,pom. użytkowe,,WESOŁA
ID4egnB,"Nowe Włochy, ul.Jagny, 4 pokoje, parter,","Warszawa, Włochy, Nowe Włochy, ul. Jagny",749000.0,66.0,pełna własność,4,do zamieszkania,parter/2,ogródek,zapytaj,garaż/miejsce parkingowe,zapytaj,gazowe,wtórny,prywatny,,1938,kamienica,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,cegła,WŁOCHY
ID4f3WI,Kompaktowe 3 pokoje - 48 M - dobra komunikacja,"Warszawa, Praga-Południe",640000.0,48.2,,3,,1/4,balkon,zapytaj,zapytaj,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2023,blok,plastikowe,tak,brak informacji,monitoring / ochrona,brak informacji,oddzielna kuchnia,,PRAGA-POŁUDNIE
ID4eQdH,3 pokojowe na Mokotowie-Okazja!,"Warszawa, Mokotów",635000.0,46.0,pełna własność,3,do zamieszkania,10/10,,350 zł,zapytaj,zapytaj,gazowe,wtórny,biuro nieruchomości,,1968,blok,plastikowe,tak,"telewizja kablowa, internet",brak informacji,meble,brak informacji,wielka płyta,MOKOTÓW
ID4fVjg,4-pokojowe mieszkanie 82m2 + loggia,"Warszawa, Mokotów",,82.16,pełna własność,4,do wykończenia,6/6,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2022,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,MOKOTÓW
ID4fV7P,Gotowiec inwestycyjny blisko metra - Ursynów,"Warszawa, Ursynów",580873.0,36.05,pełna własność,2,do wykończenia,4/4,balkon,zapytaj,zapytaj,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2022,blok,,tak,brak informacji,"system alarmowy, monitoring / ochrona",brak informacji,brak informacji,,URSYNÓW
ID4fSGO,3 niezależne pokoje przy Wum,"Warszawa, Ochota, Rakowiec, Karola Dickensa",550000.0,44.0,pełna własność,3,do zamieszkania,parter/8,balkon,600 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,2022-02-10,1964,,plastikowe,nie,brak informacji,brak informacji,"lodówka, meble, kuchenka, pralka",pom. użytkowe,,OCHOTA
ID4cFkR,Wiślany Mokotów | etap VI | mieszkanie B3.M117,"Warszawa, Mokotów, ul. Batalionu AK",,52.11,,2,do wykończenia,3/4,taras,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2022,,,tak,"internet, telefon",domofon / wideofon,brak informacji,brak informacji,,MOKOTÓW
ID4bGrI,"Mieszkanie, 70 m², Warszawa","Warszawa, Mokotów",890000.0,70.0,,4,,parter/3,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1934,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,MOKOTÓW
ID4e9ER,2-pokojowe mieszkanie 43m2 + balkon Bez Prowizji,"Warszawa, mazowieckie",,43.32,pełna własność,2,do wykończenia,4/7,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,MAZOWIECKIE
ID4gkAw,4 Pokoje | Miasteczko Wilanów | 98m2 | Openhouse,"Warszawa, Wilanów",1350000.0,97.62,pełna własność,4,,1/3,,900 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2010,apartamentowiec,,tak,brak informacji,monitoring / ochrona,meble,brak informacji,cegła,WILANÓW
ID4gkg0,"Dwupokojowe mieszkanie przy Starówce, ul. Długa 19","Warszawa, Śródmieście, ul. Długa 55",805000.0,35.0,pełna własność,2,do zamieszkania,3/4,balkon,400 zł,zapytaj,zapytaj,miejskie,wtórny,prywatny,,1960,blok,plastikowe,nie,brak informacji,teren zamknięty,"lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,ŚRÓDMIEŚCIE
ID4b9Ri,Klimatyczne mieszkanie w Wesołej,"Warszawa, Wesoła",730000.0,62.0,pełna własność,3,do zamieszkania,parter/2,balkon,500 zł,zapytaj,zapytaj,gazowe,wtórny,biuro nieruchomości,,1934,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon",brak informacji,meble,brak informacji,cegła,WESOŁA
ID4fJ0A,2 pokojowe mieszkanie + garaż + komórka,"Warszawa, Białołęka, Małej Brzozy",500000.0,47.5,pełna własność,2,do zamieszkania,2/2,balkon,600 zł,garaż/miejsce parkingowe,zapytaj,inne,wtórny,biuro nieruchomości,,2004,blok,plastikowe,nie,"telewizja kablowa, internet, telefon",monitoring / ochrona,brak informacji,pom. użytkowe,,BIAŁOŁĘKA
ID4fVEP,1-pokojowe mieszkanie 26m2 + balkon Bez Prowizji,"Warszawa, Wola",,26.94,pełna własność,1,do wykończenia,4/6,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,WOLA
ID4eCEG,Komfortowy Apartament Future Gardens 7E22,"Warszawa, Białołęka, ul. Warzelnicza 7",,55.58,pełna własność,3,do wykończenia,2/2,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,gazowe,pierwotny,deweloper,,2023,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,pom. użytkowe,,BIAŁOŁĘKA
ID4g7mU,2 pokoje przy ul. Siedmiogrodzkiej,"Warszawa, Wola, Siedmiogrodzka",1050000.0,53.06,pełna własność,2,do zamieszkania,parter/4,taras,547 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2017,apartamentowiec,,tak,brak informacji,"system alarmowy, monitoring / ochrona",meble,brak informacji,cegła,WOLA
ID4g2ar,TBS odstąpię partycypację Warszawa Metro Szwedzka,"Warszawa, Praga-Północ",170000.0,33.73,,1,,4,,zapytaj,zapytaj,zapytaj,,wtórny,prywatny,,brak informacji,blok,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,PRAGA-PÓŁNOC
ID4fCQO,2 Pok. | Żerań | Inwestycyjne | Miejsce postojowe,"Warszawa, Białołęka, Żerań, Jana Kowalczyka",390000.0,35.0,,2,,7/12,,420 zł,garaż/miejsce parkingowe,zapytaj,inne,wtórny,biuro nieruchomości,2022-03-01,1980,blok,,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,piwnica,inne,BIAŁOŁĘKA
ID4fTtN,Dwustronne mieszkanie na Imielinie 500 M od metra,"Warszawa, Ursynów, Polinezyjska",770000.0,63.0,spółdzielcze wł. z KW,3,do zamieszkania,9/10,balkon,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1979,blok,,tak,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,wielka płyta,URSYNÓW
ID4fjZL,3-pokojowe mieszkanie 69m2 + balkon Bez Prowizji,"Warszawa, Praga-Południe",,69.8,pełna własność,3,do wykończenia,1/4,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2024,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,PRAGA-POŁUDNIE
ID4fq6T,Gotowa Kawalerka Na Starej Ochocie,"Warszawa, Ochota, Stara Ochota, Grójecka",355000.0,24.0,pełna własność,1,do zamieszkania,4/10,balkon,292 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1971,blok,aluminiowe,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,brak informacji,wielka płyta,OCHOTA
ID4frDr,"Loft 165m2 z kominkiem :: 3,5m wysoki :: Koneser","Warszawa, Praga-Północ, Markowska",3500000.0,165.0,pełna własność,4,do zamieszkania,2/3,,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,1924,kamienica,aluminiowe,tak,brak informacji,"system alarmowy, monitoring / ochrona",brak informacji,brak informacji,cegła,PRAGA-PÓŁNOC
ID4ejkT,"2 pokoje obok Ronda Daszyńskiego, piękny widok!","Warszawa, Wola, Łucka",650000.0,36.3,,1,do zamieszkania,> 10/30,,375 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,2021-12-01,2005,apartamentowiec,drewniane,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,cegła,WOLA
ID4g8gO,2 pokoje blisko Uniwersytet Medyczny,"Warszawa, Ochota, Rakowiec",459000.0,36.3,pełna własność,2,,7/10,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1968,blok,,tak,brak informacji,brak informacji,brak informacji,piwnica,cegła,OCHOTA
ID4e9HZ,Przestronne 3 pokoje w najlepszej części Białołęki,"Warszawa, Białołęka, Modlińska",710000.0,70.41,pełna własność,3,,parter/4,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,2012,blok,,nie,brak informacji,brak informacji,brak informacji,brak informacji,cegła,BIAŁOŁĘKA
ID4fBCh,"Kawalerka Na Woli, Super Lokalizacja 26 m2 Balkon","Warszawa, Wola",497000.0,26.0,pełna własność,1,,1/8,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2022,blok,,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,brak informacji,,WOLA
ID4fVcR,2-pokojowe mieszkanie 46m2 + ogródek Bez Prowizji,"Warszawa, Wola",,46.83,pełna własność,2,do wykończenia,parter/8,"taras, ogródek",zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2023,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,WOLA
ID4fVQV,** 3-pok. MIESZKANIE na II piętrze * NOWY TARGÓWEK,"Warszawa, Targówek",901820.0,70.52,pełna własność,3,do wykończenia,2/5,ogródek,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,deweloper,,2024,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,,TARGÓWEK
ID4cfjs,3-pokojowe mieszkanie 55m2 + 2 balkony,"Warszawa, Rembertów",,55.42,pełna własność,3,do wykończenia,1/4,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,REMBERTÓW
ID4fLtR,"Fabrica Ursus, 2 pokoje, I etap","Warszawa, Ursus, Dyrekcyjna",499900.0,48.41,pełna własność,2,do wykończenia,2/6,,490 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,2024-01-01,2024,blok,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,URSUS
ID4eIdt,Mokotów I Tereny Zielone I bez Pcc I bez Prowizji,"Warszawa, Mokotów, Gąsocińska",752600.0,67.97,pełna własność,3,,1/2,"balkon, ogródek",700 zł,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2023,blok,,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,"piwnica, pom. użytkowe",inne,MOKOTÓW
ID4eAuJ,Rodzinny apartament na Bemowie,"Warszawa, Bemowo, Wieśniacza",1275000.0,93.0,pełna własność,4,,4/6,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,2024-04-01,2024,apartamentowiec,,tak,brak informacji,brak informacji,brak informacji,brak informacji,,BEMOWO
ID4fYwH,3 Pokojowe 50m2 Wola,"Warszawa, Wola",560000.0,50.0,,3,do zamieszkania,4/10,,700 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1973,blok,,tak,brak informacji,brak informacji,meble,oddzielna kuchnia,,WOLA
ID4dlRV,Dwupoziomowy apartament z widokiem na las.,"Warszawa, Wawer, Korkowa",999000.0,100.74,pełna własność,5,do zamieszkania,4/4,balkon,zapytaj,zapytaj,Film,miejskie,wtórny,biuro nieruchomości,,2016,blok,,tak,brak informacji,teren zamknięty,brak informacji,"oddzielna kuchnia, dwupoziomowe, pom. użytkowe",inne,WAWER
ID4fQVE,Nowa Inwestycja - Wybierz Wymarzone Mieszkanie - B,"Warszawa, Ursynów, Kabaty",1608900.0,87.0,pełna własność,3,,2/4,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2024,apartamentowiec,drewniane,nie,brak informacji,brak informacji,brak informacji,brak informacji,,URSYNÓW
ID4fR4S,2-pokojowe mieszkanie 35m2 + loggia Bezpośrednio,"Warszawa, Białołęka",,35.54,pełna własność,2,do wykończenia,3/3,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,BIAŁOŁĘKA
ID4g2DC,"Metro Służew, 87,05m2, taras 27m2, Gotowe","Warszawa, Mokotów, Wałbrzyska",1390000.0,87.05,pełna własność,3,do wykończenia,7/10,taras,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2021,apartamentowiec,,tak,brak informacji,"system alarmowy, monitoring / ochrona",brak informacji,"piwnica, oddzielna kuchnia, pom. użytkowe",,MOKOTÓW
ID4f0IJ,zakup bez pcc i prowizji,"Warszawa, Bielany, Krzemieniecka",375000.0,24.5,pełna własność,1,do wykończenia,2/4,balkon,385 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2021,apartamentowiec,plastikowe,tak,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,inne,BIELANY
ID4amhm,"4 pokoje, apartament, Mokotów Pory","Warszawa, Mokotów, Stegny, Pory",1389000.0,115.0,pełna własność,3,do zamieszkania,2/12,balkon,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2005,blok,,tak,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,cegła,MOKOTÓW
ID4eMuj,Mieszanie na Żoliborzu blisko metra.,"Warszawa, Żoliborz",660000.0,28.2,pełna własność,1,,4/6,balkon,550 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2012,apartamentowiec,plastikowe,tak,brak informacji,domofon / wideofon,brak informacji,piwnica,cegła,ŻOLIBORZ
ID4gaHx,Tylko 6min do PkiN! 10min do Politechniki i SGH,"Warszawa, Wola",1558000.0,85.27,,4,do wykończenia,5,balkon,zapytaj,garaż/miejsce parkingowe,tak,,pierwotny,biuro nieruchomości,,brak informacji,apartamentowiec,,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,brak informacji,inne,WOLA
ID4f2Do,Mieszkanie trzypokojowe na pierwszym pietrze.,"Warszawa, Białołęka, Tarchomin, Mehoffera",628000.0,53.86,pełna własność,3,do zamieszkania,1/4,balkon,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2020,apartamentowiec,,tak,brak informacji,brak informacji,brak informacji,brak informacji,inne,BIAŁOŁĘKA
ID4gmUb,Wysoki standard|3 pokoje|blisko metro|balkon 15m2,"Warszawa, Bemowo, Górce, Górczewska",1138800.0,72.04,pełna własność,3,do zamieszkania,5/7,balkon,785 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2007,apartamentowiec,drewniane,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,brak informacji,cegła,BEMOWO
